Created with UCDetector 1.10.0	2016-04-24 09:36:44	http://www.ucdetector.org/	
TerrainBase.Camera.set(Camera.java:64)	Change visibility of Method "Camera.set(PApplet)" to default	Camera.set(PApplet)	org.ucdetector.analyzeMarkerVisibilityDefault	phil_j5igwo1
TerrainBase.Camera.addHUD(Camera.java:69)	Change visibility of Method "Camera.addHUD(PApplet)" to default	Camera.addHUD(PApplet)	org.ucdetector.analyzeMarkerVisibilityDefault	phil_j5igwo1
TerrainBase.Camera.camera(Camera.java:17)	Change visibility of Field "Camera.camera" to private	Camera.camera	org.ucdetector.analyzeMarkerVisibilityPrivate	phil_j5igwo1
TerrainBase.ProcBase.<init>(ProcBase.java:20)	Class "ProcBase" has 0 references	ProcBase	org.ucdetector.analyzeMarkerReference	Philip Larby
TerrainBase.Helpers.SphericalToCartesian(Helpers.java:66)	Change visibility of Method "Helpers.SphericalToCartesian(float,float,float)" to default	Helpers.SphericalToCartesian(float,float,float)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.log(Helpers.java:83)	Change visibility of Method "Helpers.log(int,String)" to default	Helpers.log(int,String)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.Density(Helpers.java:96)	Change visibility of Method "Helpers.Density(Cell)" to default	Helpers.Density(Cell)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.Density(Helpers.java:122)	Change visibility of Method "Helpers.Density(DensityVertex,Cell)" to default	Helpers.Density(DensityVertex,Cell)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.getCellHierarchy(Helpers.java:144)	Change visibility of Method "Helpers.getCellHierarchy(Cell)" to default	Helpers.getCellHierarchy(Cell)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.root(Helpers.java:173)	Change visibility of Method "Helpers.root(Cell)" to default	Helpers.root(Cell)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.LODCaclulator(Helpers.java:184)	Change visibility of Method "Helpers.LODCaclulator(float)" to default	Helpers.LODCaclulator(float)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.intArrayContains(Helpers.java:207)	Change visibility of Method "Helpers.intArrayContains(int[],int)" to default	Helpers.intArrayContains(int[],int)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.Cam(Helpers.java:18)	Change visibility of Field "Helpers.Cam" to default	Helpers.Cam	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.DrawCellBounds(Helpers.java:21)	Change visibility of Field "Helpers.DrawCellBounds" to default	Helpers.DrawCellBounds	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.DrawPatchBounds(Helpers.java:24)	Change visibility of Field "Helpers.DrawPatchBounds" to default	Helpers.DrawPatchBounds	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.DrawCellVertex(Helpers.java:27)	Change visibility of Field "Helpers.DrawCellVertex" to default	Helpers.DrawCellVertex	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.DrawCellCentre(Helpers.java:30)	Change visibility of Field "Helpers.DrawCellCentre" to default	Helpers.DrawCellCentre	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.DrawScaffoldOrigin(Helpers.java:33)	Change visibility of Field "Helpers.DrawScaffoldOrigin" to default	Helpers.DrawScaffoldOrigin	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.DrawTriangleMesh(Helpers.java:36)	Change visibility of Field "Helpers.DrawTriangleMesh" to default	Helpers.DrawTriangleMesh	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.DrawCellTriangles(Helpers.java:39)	Change visibility of Field "Helpers.DrawCellTriangles" to default	Helpers.DrawCellTriangles	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.PatchCount(Helpers.java:42)	Change visibility of Field "Helpers.PatchCount" to default	Helpers.PatchCount	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.CellCount(Helpers.java:45)	Change visibility of Field "Helpers.CellCount" to default	Helpers.CellCount	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.ViewHeight(Helpers.java:48)	Change visibility of Field "Helpers.ViewHeight" to default	Helpers.ViewHeight	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.DensityThreshold(Helpers.java:51)	Change visibility of Field "Helpers.DensityThreshold" to default	Helpers.DensityThreshold	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.PatchDivision(Helpers.java:54)	Change visibility of Field "Helpers.PatchDivision" to default	Helpers.PatchDivision	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Helpers.RootCellDivision(Helpers.java:57)	Field "Helpers.RootCellDivision" has 0 references	Helpers.RootCellDivision	org.ucdetector.analyzeMarkerReference	Philip Larby
TerrainBase.Helpers.EarthDiameter(Helpers.java:60)	Change visibility of Field "Helpers.EarthDiameter" to default	Helpers.EarthDiameter	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
